Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0.0,01-01-2022,1,2,0,0,1
14.0,01-01-2022,1,14,4,1,0
14.0,01-01-2022,4,62,34,5,11
14.0,01-01-2022,5,51,38,2,1
8.0,01-01-2022,5,90,40,4,19
8.0,01-01-2022,4,59,24,2,2
8.0,01-01-2022,2,1,0,0,0
8.0,01-01-2022,1,8,5,0,1
11.0,01-01-2022,0,121,80,12,7
0.0,01-01-2022,0,47,18,3,1
15.0,01-01-2022,1,8,4,0,0
15.0,01-01-2022,2,1,1,1,0
15.0,01-01-2022,4,46,20,0,4
12.0,01-01-2022,0,134,78,14,4
1.0,01-01-2022,0,66,31,3,12
15.0,01-01-2022,5,15,9,1,0
17.0,01-01-2022,0,24,14,1,1
2.0,01-01-2022,5,12,5,0,0
2.0,01-01-2022,4,47,25,4,1
2.0,01-01-2022,1,9,1,0,0
21.0,01-01-2022,0,17,11,1,0
16.0,01-01-2022,1,2,1,0,0
16.0,01-01-2022,2,1,1,0,0
16.0,01-01-2022,4,29,19,1,1
16.0,01-01-2022,5,18,7,0,2
22.0,01-01-2022,0,25,14,2,1
7.0,01-01-2022,5,122,71,10,20
7.0,01-01-2022,4,58,37,4,3
7.0,01-01-2022,3,1,1,0,0
10.0,01-01-2022,1,2,1,0,1
2.0,01-01-2022,0,68,31,4,1
13.0,01-01-2022,5,16,9,0,2
13.0,01-01-2022,4,114,49,3,3
10.0,01-01-2022,4,26,14,1,1
10.0,01-01-2022,5,77,41,27,25
18.0,01-01-2022,0,24,9,2,3
9.0,01-01-2022,0,114,73,16,10
19.0,01-01-2022,0,6,2,0,0
7.0,01-01-2022,0,183,110,14,23
4.0,01-01-2022,1,5,2,1,0
4.0,01-01-2022,4,37,15,1,2
4.0,01-01-2022,5,24,9,4,6
6.0,01-01-2022,0,141,58,13,24
11.0,01-01-2022,1,1,1,0,0
11.0,01-01-2022,4,83,60,5,4
11.0,01-01-2022,5,37,19,7,3
5.0,01-01-2022,0,75,30,8,5
12.0,01-01-2022,1,2,2,0,0
12.0,01-01-2022,2,1,1,0,0
12.0,01-01-2022,4,109,61,10,4
12.0,01-01-2022,5,22,14,4,0
3.0,01-01-2022,5,25,7,2,5
3.0,01-01-2022,4,57,23,1,4
3.0,01-01-2022,3,2,0,0,0
20.0,01-01-2022,0,16,8,0,0
9.0,01-01-2022,5,71,47,14,9
9.0,01-01-2022,4,39,24,2,1
9.0,01-01-2022,1,4,2,0,0
10.0,01-01-2022,0,105,56,28,27
4.0,01-01-2022,0,66,26,6,8
3.0,01-01-2022,0,84,30,3,9
13.0,01-01-2022,1,45,6,1,0
7.0,01-01-2022,1,2,1,0,0
13.0,01-01-2022,0,175,64,4,5
8.0,01-01-2022,0,158,69,6,22
22.0,01-01-2022,3,1,1,0,0
6.0,01-01-2022,1,5,3,0,1
20.0,01-01-2022,5,3,2,0,0
20.0,01-01-2022,4,10,4,0,0
20.0,01-01-2022,3,1,1,0,0
20.0,01-01-2022,1,2,1,0,0
17.0,01-01-2022,1,3,2,0,0
17.0,01-01-2022,2,2,0,0,0
5.0,01-01-2022,5,31,9,4,1
17.0,01-01-2022,4,15,10,1,1
22.0,01-01-2022,4,16,8,2,1
22.0,01-01-2022,5,8,5,0,0
18.0,01-01-2022,1,2,1,0,1
18.0,01-01-2022,2,1,0,0,0
18.0,01-01-2022,4,13,5,1,1
6.0,01-01-2022,4,38,20,0,1
18.0,01-01-2022,5,8,3,1,1
17.0,01-01-2022,5,4,2,0,0
5.0,01-01-2022,4,40,19,4,4
1.0,01-01-2022,5,21,8,0,4
5.0,01-01-2022,1,3,2,0,0
0.0,01-01-2022,4,30,13,2,0
0.0,01-01-2022,5,15,5,1,0
6.0,01-01-2022,5,98,35,13,22
19.0,01-01-2022,5,1,1,0,0
19.0,01-01-2022,4,5,1,0,0
21.0,01-01-2022,5,7,4,0,0
5.0,01-01-2022,2,1,0,0,0
23.0,01-01-2022,0,40,27,2,3
1.0,01-01-2022,1,8,4,0,2
15.0,01-01-2022,0,70,34,2,4
16.0,01-01-2022,0,50,28,1,3
14.0,01-01-2022,0,127,76,8,12
21.0,01-01-2022,4,10,7,1,0
23.0,01-01-2022,5,12,11,1,1
1.0,01-01-2022,4,37,19,3,6
23.0,01-01-2022,4,23,14,1,1
23.0,01-01-2022,1,5,2,0,1
3.0,01-02-2022,5,14,10,1,3
3.0,01-02-2022,3,7,7,0,0
12.0,01-02-2022,4,82,51,4,8
12.0,01-02-2022,3,1,1,1,0
12.0,01-02-2022,2,2,2,0,0
12.0,01-02-2022,1,8,3,0,0
3.0,01-02-2022,4,33,17,1,4
12.0,01-02-2022,5,53,8,2,2
23.0,01-02-2022,5,24,13,1,2
22.0,01-02-2022,4,26,14,6,1
10.0,01-02-2022,1,17,9,0,1
10.0,01-02-2022,2,1,0,0,0
10.0,01-02-2022,4,70,47,12,10
10.0,01-02-2022,5,66,4,0,0
20.0,01-02-2022,5,7,2,0,0
20.0,01-02-2022,4,19,10,1,1
20.0,01-02-2022,1,1,1,0,0
22.0,01-02-2022,5,12,5,1,1
19.0,01-02-2022,0,30,22,4,0
6.0,01-02-2022,0,96,42,12,5
19.0,01-02-2022,5,9,5,0,0
22.0,01-02-2022,1,1,1,0,0
11.0,01-02-2022,1,5,2,0,0
11.0,01-02-2022,4,85,57,3,2
11.0,01-02-2022,5,55,4,1,0
5.0,01-02-2022,0,95,43,8,6
7.0,01-02-2022,0,104,55,7,9
19.0,01-02-2022,4,17,13,2,0
1.0,01-02-2022,4,41,24,2,2
20.0,01-02-2022,0,27,13,1,1
17.0,01-02-2022,1,10,7,3,1
15.0,01-02-2022,1,17,13,4,2
15.0,01-02-2022,2,1,0,0,0
15.0,01-02-2022,4,102,61,33,7
15.0,01-02-2022,5,25,3,0,0
2.0,01-02-2022,5,20,9,2,3
2.0,01-02-2022,4,54,27,2,3
21.0,01-02-2022,0,35,18,4,2
16.0,01-02-2022,1,10,7,1,0
16.0,01-02-2022,4,44,19,6,2
16.0,01-02-2022,5,24,4,0,0
22.0,01-02-2022,0,39,20,7,2
21.0,01-02-2022,1,3,1,0,0
21.0,01-02-2022,4,27,15,4,2
21.0,01-02-2022,5,5,2,0,0
23.0,01-02-2022,1,1,1,1,0
23.0,01-02-2022,2,1,0,0,0
17.0,01-02-2022,3,1,0,0,0
19.0,01-02-2022,1,4,4,2,0
17.0,01-02-2022,4,26,16,3,0
0.0,01-02-2022,0,36,12,2,4
4.0,01-02-2022,0,80,40,9,2
23.0,01-02-2022,0,62,32,7,6
3.0,01-02-2022,0,59,37,2,7
1.0,01-02-2022,1,3,0,0,1
23.0,01-02-2022,4,36,18,5,4
13.0,01-02-2022,1,21,12,4,2
13.0,01-02-2022,4,52,24,3,3
13.0,01-02-2022,5,39,3,0,0
2.0,01-02-2022,0,80,40,4,6
1.0,01-02-2022,5,15,5,0,1
1.0,01-02-2022,0,59,29,2,4
