Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0.0,01-01-2022,1,1.0,0,0,0
4.0,01-01-2022,0,11.0,7,0,0
3.0,01-01-2022,0,2.0,1,0,0
2.0,01-01-2022,0,4.0,0,0,0
15.0,01-01-2022,0,20.0,10,0,0
18.0,01-01-2022,0,41.0,28,0,0
23.0,01-01-2022,0,3.0,1,0,0
10.0,01-01-2022,5,5.0,1,0,0
5.0,01-01-2022,0,7.0,5,0,0
10.0,01-01-2022,4,15.0,7,0,0
14.0,01-01-2022,1,6.0,5,0,0
14.0,01-01-2022,4,11.0,6,0,0
14.0,01-01-2022,5,1.0,0,0,0
1.0,01-01-2022,0,4.0,4,0,0
0.0,01-01-2022,0,4.0,3,0,0
5.0,01-01-2022,4,7.0,5,0,0
15.0,01-01-2022,1,6.0,5,0,0
10.0,01-01-2022,1,5.0,4,0,0
15.0,01-01-2022,4,12.0,3,0,0
14.0,01-01-2022,0,18.0,11,0,0
4.0,01-01-2022,4,10.0,6,0,0
11.0,01-01-2022,4,11.0,5,0,0
11.0,01-01-2022,1,10.0,7,0,0
12.0,01-01-2022,1,8.0,5,0,0
12.0,01-01-2022,4,16.0,3,0,0
9.0,01-01-2022,0,15.0,9,0,0
8.0,01-01-2022,0,26.0,12,0,0
7.0,01-01-2022,0,21.0,10,0,0
19.0,01-01-2022,0,14.0,9,0,0
13.0,01-01-2022,0,20.0,9,0,0
19.0,01-01-2022,4,10.0,5,0,0
19.0,01-01-2022,1,1.0,1,0,0
13.0,01-01-2022,1,3.0,3,0,0
13.0,01-01-2022,4,15.0,5,0,0
13.0,01-01-2022,5,2.0,1,0,0
6.0,01-01-2022,0,18.0,8,0,0
4.0,01-01-2022,1,1.0,1,0,0
19.0,01-01-2022,5,3.0,3,0,0
11.0,01-01-2022,5,2.0,1,0,0
22.0,01-01-2022,0,7.0,3,0,0
22.0,01-01-2022,5,1.0,0,0,0
1.0,01-01-2022,5,1.0,1,0,0
8.0,01-01-2022,5,3.0,1,0,0
2.0,01-01-2022,4,4.0,0,0,0
16.0,01-01-2022,0,23.0,14,0,0
17.0,01-01-2022,1,7.0,6,0,0
17.0,01-01-2022,4,21.0,7,0,0
17.0,01-01-2022,5,6.0,3,0,0
